parameter	value
character	RTY181C
log_likelihood	-449.11057637435215
log_likelihood_restricted_JOINT	-471.00666769294355
log_likelihood_restricted_MAP	-480.2919770950547
log_likelihood_restricted_MPPA	-466.19040048873865
method	MPPA
model	F81
num_nodes	7237
num_scenarios	18014398509481984
num_states_per_node_avg	1.0074616553820643
num_tips	3619
num_unresolved_nodes	54
percentage_of_unresolved_nodes	0.7461655382064392
scaling_factor	3.2950873619480268
state_changes_per_avg_branch	0.049325752368094986
resistant	0.031315686034925364
sensitive	0.9686843139650747
